Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,ExtId__c,FOB_Point__c,Freight__c
a151I000001ANi7QAG,0051I000000r0mDQAQ,False,FOB ORIGIN,2017-11-27T07:20:31.000+0000,0051I000000r0mDQAQ,2017-11-27T07:20:31.000+0000,0051I000000r0mDQAQ,2017-11-27T07:20:31.000+0000,,,&IAQwSx1000000I151a,Origin,False
a151I000001ANi8QAG,0051I000000r0mDQAQ,False,FOB DESTINATION,2017-11-27T07:20:31.000+0000,0051I000000r0mDQAQ,2017-11-27T07:20:31.000+0000,0051I000000r0mDQAQ,2017-11-27T07:20:31.000+0000,,,&IAQvSx1000000I151a,Destination,False
