Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Assembly_Item_Specification__c,Allocate_on_Receipt__c,Allocation_Required__c,Assembly_Item_Spec_Name__c,Assembly_Revision__c,Autonumber__c,Company__c,Component_Item__c,Component_Sequence__c,Component_Stocking_UOM__c,Configuration_Type__c,ExtId__c,Primary_Key__c,Quantity_per_Assembly__c,Reference__c,Routing_Operation_Sequence__c,Routing_Sequence__c,Routing__c,Supplier__c,Type__c,Yield__c
a0h1I000000wOI0QAM,False,CP-0000000001,2017-12-07T21:06:40.000+0000,0051I000000r0mDQAQ,2017-12-07T21:06:40.000+0000,0051I000000r0mDQAQ,2017-12-07T21:06:40.000+0000,a1U1I000000KhVXUA0,False,False,,A-19,0000000001,a0g1I000000ue07QAA,a1V1I000000KE1jUAG,1.0,EA,,&AAQway5000000I1h0a,,1.0,,,1.0,a2V1I000000ZwxHUAS,,Kit,100.0
a0h1I000000wOI1QAM,False,CP-0000000002,2017-12-07T21:06:40.000+0000,0051I000000r0mDQAQ,2017-12-07T21:06:40.000+0000,0051I000000r0mDQAQ,2017-12-07T21:06:40.000+0000,a1U1I000000KhVXUA0,False,False,,A-19,0000000002,a0g1I000000ue07QAA,a1V1I000000KE1kUAG,1.0,EA,,&AAQxay5000000I1h0a,,30.0,,,1.0,a2V1I000000ZwxHUAS,,Kit,100.0
a0h1I000000wOI2QAM,False,CP-0000000003,2017-12-07T21:06:40.000+0000,0051I000000r0mDQAQ,2017-12-07T21:06:40.000+0000,0051I000000r0mDQAQ,2017-12-07T21:06:40.000+0000,a1U1I000000KhVXUA0,False,False,,A-19,0000000003,a0g1I000000ue07QAA,a1V1I000000KE1mUAG,2.0,EA,,&AAQyay5000000I1h0a,,1.0,,,2.0,a2V1I000000ZwxIUAS,,Kit,100.0
a0h1I000000wOI3QAM,False,CP-0000000004,2017-12-07T21:06:40.000+0000,0051I000000r0mDQAQ,2017-12-07T21:06:40.000+0000,0051I000000r0mDQAQ,2017-12-07T21:06:40.000+0000,a1U1I000000KhVXUA0,False,False,,A-19,0000000004,a0g1I000000ue07QAA,a1V1I000000KE1lUAG,1.0,EA,,&AAQray5000000I1h0a,,10.0,,,1.0,a2V1I000000ZwxHUAS,,Kit,100.0
