Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Company__c,ExtId__c,Fiscal_Year_End_Date__c,Fiscal_Year_Start_Date__c,GL_Account__c,Primary_Key__c
,,,FY-2017,,,,,,,,,a0g1I0000005btWQAQ,&MAU9NHc000000I1D1a,2018-01-01T08:00:00.000+0000,2017-01-01T08:00:00.000+0000,a1I1I0000001kNkUAI,
,,,FY-2017,,,,,,,,,a0g1I0000005btXQAQ,&2AUANHc000000I1D1a,2018-01-01T08:00:00.000+0000,2017-01-01T08:00:00.000+0000,a1I1I0000001kNkUAI,
