Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,KSPRING17__COGS_GL_Account__c,KSPRING17__Class_Unique__c,KSPRING17__Description__c,KSPRING17__Expense_GL_Account__c,KSPRING17__ExtId__c,KSPRING17__Inventory_GL_Account__c,KSPRING17__Minimum_Shelf_Life_In_Days__c,KSPRING17__Quality_Sample_Percentage__c,KSPRING17__Revenue_GL_Account__c,KSPRING17__Shelf_Life_Days__c,KSPRING17__Status_1_Name__c,KSPRING17__Status_1_Offset_Days__c,KSPRING17__Status_2_Name__c,KSPRING17__Status_2_Offset_Days__c,KSPRING17__Status_3_Name__c,KSPRING17__Status_3_Offset_Days__c,KSPRING17__Type__c
a0e1I000000pHZIQA2,0051I000000RRW1QAO,False,Miscellaneous Purchase,2017-10-23T19:54:45.000+0000,0051I000000RRW1QAO,2017-10-23T19:54:45.000+0000,0051I000000RRW1QAO,2017-10-24T10:43:27.000+0000,,,,Miscellaneous Purchase,,a1I1I0000001kONUAY,&2AQIZHp000000I1e0a,,0.0,,,,,,,,,,Miscellaneous
a0e1I000000qSVVQA2,0051I000000RRW1QAO,False,Annual Contract,2017-11-15T20:25:37.000+0000,0051I000000RRW1QAO,2017-11-15T20:25:37.000+0000,0051I000000RRW1QAO,2017-11-28T11:27:51.000+0000,,,,Annual Contract,,,&2AQVVSq000000I1e0a,,0.0,,a1I1I0000001kNbUAI,,,,,,,,Expense
