Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,KSPRING17__Default_Container_Item__c,KSPRING17__Description__c,KSPRING17__Fractional_Quantities_Allowed__c,KSPRING17__Level__c,KSPRING17__Parent_Package_Class__c
a1w1I000000B5OQQA0,0051I000000ROnuQAG,False,CS Pkg Class,2017-12-18T17:35:29.000+0000,0051I000000ROnuQAG,2017-12-18T17:37:52.000+0000,0051I000000ROnuQAG,2017-12-19T11:20:07.000+0000,,2017-12-18T17:37:52.000+0000,2017-12-18T17:37:52.000+0000,,CS Package Class,False,2.0,
a1w1I000000Ay5uQAC,0051I000000ROnuQAG,False,CS,2017-12-07T23:11:53.000+0000,0051I000000ROnuQAG,2017-12-18T17:10:49.000+0000,0051I000000ROnuQAG,2017-12-19T11:20:07.000+0000,,2017-12-18T17:10:49.000+0000,2017-12-18T17:10:49.000+0000,,CASE,False,2.0,a1w1I000000Ay5kQAC
