Id,IsDeleted,Name,SetupOwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,KSPRING17__Accounting_Entry_Field__c,KSPRING17__Accounting_Rule_Default__c,KSPRING17__Accounting_Rule_Reference_Value__c,KSPRING17__Accounting_Rule_Segment__c,KSPRING17__Display_Order__c,KSPRING17__ExtId__c,KSPRING17__Object_API_Name__c,KSPRING17__Segment_Number__c
a2Z1I000000PnUVUA0,False,Company__c,00D1I000001Vsn6UAC,2017-10-03T06:02:42.000+0000,0051I000000ROnuQAG,2017-10-03T06:02:42.000+0000,0051I000000ROnuQAG,2017-10-03T06:02:42.000+0000,Company__c,,,,1.0,&0AUVUnP000000I1Z2a,Company__c,1.0
a2Z1I000000PnUWUA0,False,GL_Account__c,00D1I000001Vsn6UAC,2017-10-03T06:02:42.000+0000,0051I000000ROnuQAG,2017-10-03T06:02:42.000+0000,0051I000000ROnuQAG,2017-10-03T06:02:42.000+0000,GL_Account__c,Default_GL_Account__c,GL_Account_Reference_Value__c,GL_Account__c,2.0,&0AUWUnP000000I1Z2a,GL_Account__c,2.0
a2Z1I000000PnUXUA0,False,Intercompany__c,00D1I000001Vsn6UAC,2017-10-03T06:02:42.000+0000,0051I000000ROnuQAG,2017-10-03T06:02:42.000+0000,0051I000000ROnuQAG,2017-10-03T06:02:42.000+0000,Intercompany__c,Default_Intercompany__c,Intercompany_Reference_Value__c,Intercompany__c,10.0,&0AUXUnP000000I1Z2a,Intercompany__c,9.0
