Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,KSPRING17__Description__c,KSPRING17__Every__c,KSPRING17__ExtId__c,KSPRING17__Package_Class__c,KSPRING17__Recurrence__c,KSPRING17__Scale__c,KSPRING17__Type__c,KSPRING17__UOM_Unique__c
a391I000000H9YbQAK,0051I000000ROnuQAG,False,EA,2017-10-03T16:12:58.000+0000,0051I000000ROnuQAG,2017-12-07T23:12:36.000+0000,0051I000000ROnuQAG,2017-12-08T11:56:02.000+0000,2017-12-07T23:12:36.000+0000,2017-12-07T23:12:36.000+0000,Each,,&KAQbY9H000000I193a,a1w1I000000Ay5pQAC,,,Quantity,EA
a391I000000H9YcQAK,0051I000000ROnuQAG,False,CS,2017-10-03T16:12:58.000+0000,0051I000000ROnuQAG,2017-12-07T23:13:23.000+0000,0051I000000ROnuQAG,2017-12-08T11:56:02.000+0000,2017-12-07T23:17:50.000+0000,2017-12-07T23:17:50.000+0000,Case,,&KAQcY9H000000I193a,a1w1I000000Ay5uQAC,,,Quantity,CS
a391I000000H9YdQAK,0051I000000ROnuQAG,False,PT,2017-10-03T16:12:58.000+0000,0051I000000ROnuQAG,2017-12-07T23:13:48.000+0000,0051I000000ROnuQAG,2017-12-08T11:56:02.000+0000,2017-12-07T23:13:48.000+0000,2017-12-07T23:13:48.000+0000,Pallet,,&KAQdY9H000000I193a,a1w1I000000Ay5kQAC,,,Quantity,PT
a391I000000H9YeQAK,0051I000000ROnuQAG,False,BX,2017-10-03T16:12:58.000+0000,0051I000000ROnuQAG,2017-10-03T16:12:58.000+0000,0051I000000ROnuQAG,2017-10-03T16:12:58.000+0000,,,Box,,&KAQeY9H000000I193a,,,,Quantity,BX
a391I000000H9YfQAK,0051I000000ROnuQAG,False,PK,2017-10-03T16:12:58.000+0000,0051I000000ROnuQAG,2017-10-03T16:12:58.000+0000,0051I000000ROnuQAG,2017-10-03T16:12:58.000+0000,,,Pack,,&KAQfY9H000000I193a,,,,Quantity,PK
a391I000000H9YgQAK,0051I000000ROnuQAG,False,DZ,2017-10-03T16:12:58.000+0000,0051I000000ROnuQAG,2017-10-03T16:12:58.000+0000,0051I000000ROnuQAG,2017-10-03T16:12:58.000+0000,,,Dozen,,&KAQgY9H000000I193a,,,,Quantity,DZ
a391I000000H9YhQAK,0051I000000ROnuQAG,False,LB,2017-10-03T16:12:58.000+0000,0051I000000ROnuQAG,2017-10-03T16:12:58.000+0000,0051I000000ROnuQAG,2017-10-03T16:12:58.000+0000,,,Pounds,,&KAQhY9H000000I193a,,,,Weight,LB
