Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,KSPRING17__Always_Take_Discount__c,KSPRING17__Cut_Off_Day__c,KSPRING17__Day_Of_Month__c,KSPRING17__Description__c,KSPRING17__Discount_Days__c,KSPRING17__Discount_Percent__c,KSPRING17__Due_Days__c,KSPRING17__ExtId__c,KSPRING17__Months_Ahead__c,KSPRING17__Payment_Term_Unique__c,KSPRING17__Type__c
a211I000000Uy1aQAC,0051I000000ROnuQAG,False,Net 15,2017-10-03T16:14:30.000+0000,0051I000000ROnuQAG,2017-10-03T16:14:30.000+0000,0051I000000ROnuQAG,2017-10-03T16:14:30.000+0000,,,False,,,Net due in 15 days,0.0,0.0,15.0,&CAQa1yU000000I112a,0.0,Net 15,Due Days
a211I000000Uy1bQAC,0051I000000ROnuQAG,False,2/10 Net 30,2017-10-03T16:14:30.000+0000,0051I000000ROnuQAG,2017-10-03T16:14:30.000+0000,0051I000000ROnuQAG,2017-10-03T16:14:30.000+0000,,,False,,,"2% discount in 10 Days, net due in 30",10.0,2.0,30.0,&CAQb1yU000000I112a,0.0,2/10 Net 30,Due Days
a211I000000Uy1cQAC,0051I000000ROnuQAG,False,Net 25th,2017-10-03T16:14:30.000+0000,0051I000000ROnuQAG,2017-10-03T16:14:30.000+0000,0051I000000ROnuQAG,2017-10-03T16:14:30.000+0000,,,False,20.0,25.0,Net due 25th of every month,0.0,0.0,0.0,&CAQc1yU000000I112a,0.0,Net 25th,Due Day Of Month
