Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,KSPRING17__Company__c,KSPRING17__ExtId__c,KSPRING17__Fiscal_Year_End_Date__c,KSPRING17__Fiscal_Year_Start_Date__c,KSPRING17__GL_Account__c,KSPRING17__Primary_Key__c
a1D1I000000cHN9UAM,0051I000000ROnuQAG,False,FY-2017,2017-10-03T05:55:19.000+0000,0051I000000ROnuQAG,2017-10-03T05:55:20.000+0000,0051I000000ROnuQAG,2017-10-03T05:55:20.000+0000,,,,a0g1I0000005btWQAQ,&MAU9NHc000000I1D1a,2018-01-01T08:00:00.000+0000,2017-01-01T08:00:00.000+0000,a1I1I0000001kNkUAI,a0g1I0000005btW2017-01-01 08:00:00Z2018-01-01 08:00:00Z
a1D1I000000cHNAUA2,0051I000000ROnuQAG,False,FY-2017,2017-10-03T05:55:19.000+0000,0051I000000ROnuQAG,2017-10-03T05:55:20.000+0000,0051I000000ROnuQAG,2017-10-03T05:55:20.000+0000,,,,a0g1I0000005btXQAQ,&2AUANHc000000I1D1a,2018-01-01T08:00:00.000+0000,2017-01-01T08:00:00.000+0000,a1I1I0000001kNkUAI,a0g1I0000005btX2017-01-01 08:00:00Z2018-01-01 08:00:00Z
